Datetime, Search terms, Website, Result number, Total results requested, ID number, Title, Date Submitted, Abstract, Downloaded?, FileNamePath, all_authors, all_locations, first_author, firstauthor_location, lastauthor, last_author_location, citations
072020-205323,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,27,200000,2006.06292v2,"Design Considerations for High Impact, Automated Echocardiogram Analysis",6/11/20,"Deep learning has the potential to automate echocardiogram analysis for early
detection of heart disease. Based on a qualitative analysis of design concerns,
this study suggests that predicting normal heart function instead of disease
accounts for data quality bias and significantly increases efficiency in
cardiologists' workflows.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.06292v2.pdf,Wiebke Toussaint; Dave Van Veen; Courtney Irwin; Yoni Nachmany; Manuel Barreiro-Perez; Elena Díaz-Peláez; Sara Guerreiro de Sousa; Liliana Millán; Pedro L. Sánchez; Antonio Sánchez-Puente; Jesús Sampedro-Gómez; P. Ignacio Dorado-Díaz; Víctor Vicente-Palacios,,Wiebke Toussaint,,Víctor Vicente-Palacios,,
072020-204755,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,107,200000,2006.04725v3,Biomechanics-informed Neural Networks for Myocardial Motion Tracking in MRI,6/8/20,"Image registration is an ill-posed inverse problem which often requires
regularisation on the solution space. In contrast to most of the current
approaches which impose explicit regularisation terms such as smoothness, in
this paper we propose a novel method that can implicitly learn
biomechanics-informed regularisation. Such an approach can incorporate
application-specific prior knowledge into deep learning based registration.
Particularly, the proposed biomechanics-informed regularisation leverages a
variational autoencoder (VAE) to learn a manifold for biomechanically plausible
deformations and to implicitly capture their underlying properties via
reconstructing biomechanical simulations. The learnt VAE regulariser then can
be coupled with any deep learning based registration network to regularise the
solution space to be biomechanically plausible. The proposed method is
validated in the context of myocardial motion tracking on 2D stacks of cardiac
MRI data from two different datasets. The results show that it can achieve
better performance against other competing methods in terms of motion tracking
accuracy and has the ability to learn biomechanical properties such as
incompressibility and strains. The method has also been shown to have better
generalisability to unseen domains compared with commonly used L2
regularisation schemes.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.04725v3.pdf,Chen Qin; Shuo Wang; Chen Chen; Huaqi Qiu; Wenjia Bai; Daniel Rueckert,,Chen Qin,,Daniel Rueckert,,
072020-204738,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,104,200000,2006.02699v1,PulseGAN: Learning to generate realistic pulse waveforms in remote photoplethysmography,6/4/20,"Remote photoplethysmography (rPPG) is a non-contact technique for measuring
cardiac signals from facial videos. High-quality rPPG pulse signals are
urgently demanded in many fields, such as health monitoring and emotion
recognition. However, most of the existing rPPG methods can only be used to get
average heart rate (HR) values due to the limitation of inaccurate pulse
signals. In this paper, a new framework based on generative adversarial
network, called PulseGAN, is introduced to generate realistic rPPG pulse
signals through denoising the chrominance signals. Considering that the cardiac
signal is quasi-periodic and has apparent time-frequency characteristics, the
error losses defined in time and spectrum domains are both employed with the
adversarial loss to enforce the model generating accurate pulse waveforms as
its reference. The proposed framework is tested on the public UBFC-RPPG
database in both within-database and cross-database configurations. The results
show that the PulseGAN framework can effectively improve the waveform quality,
thereby enhancing the accuracy of HR, the heart rate variability (HRV) and the
interbeat interval (IBI). The proposed method achieves the best performance
compared to the denoising autoencoder (DAE) and CHROM, with the mean absolute
error of AVNN (the average of all normal-to-normal intervals) improving 20.85%
and 41.19%, and the mean absolute error of SDNN (the standard deviation of all
NN intervals) improving 20.28% and 37.53%, respectively, in the cross-database
test. This framework can be easily extended to other existing deep learning
based rPPG methods, which is expected to expand the application scope of rPPG
techniques.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.02699v1.pdf,Rencheng Song; Huan Chen; Juan Cheng; Chang Li; Yu Liu; Xun Chen,,Rencheng Song,,Xun Chen,,
072020-205429,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,41,200000,2006.02610v1,Semi-supervised and Unsupervised Methods for Heart Sounds Classification in Restricted Data Environments,6/4/20,"Automated heart sounds classification is a much-required diagnostic tool in
the view of increasing incidences of heart related diseases worldwide. In this
study, we conduct a comprehensive study of heart sounds classification by using
various supervised, semi-supervised and unsupervised approaches on the
PhysioNet/CinC 2016 Challenge dataset. Supervised approaches, including deep
learning and machine learning methods, require large amounts of labelled data
to train the models, which are challenging to obtain in most practical
scenarios. In view of the need to reduce the labelling burden for clinical
practices, where human labelling is both expensive and time-consuming,
semi-supervised or even unsupervised approaches in restricted data setting are
desirable. A GAN based semi-supervised method is therefore proposed, which
allows the usage of unlabelled data samples to boost the learning of data
distribution. It achieves a better performance in terms of AUROC over the
supervised baseline when limited data samples exist. Furthermore, several
unsupervised methods are explored as an alternative approach by considering the
given problem as an anomaly detection scenario. In particular, the unsupervised
feature extraction using 1D CNN Autoencoder coupled with one-class SVM obtains
good performance without any data labelling. The potential of the proposed
semi-supervised and unsupervised methods may lead to a workflow tool in the
future for the creation of higher quality datasets.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.02610v1.pdf,Balagopal Unnikrishnan; Pranshu Ranjan Singh; Xulei Yang; Matthew Chin Heng Chua,,Balagopal Unnikrishnan,,Matthew Chin Heng Chua,,
072020-204101,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,24,200000,2006.03040v1,Deep learning-based reduced order models in cardiac electrophysiology,6/2/20,"Predicting the electrical behavior of the heart, from the cellular scale to
the tissue level, relies on the formulation and numerical approximation of
coupled nonlinear dynamical systems. These systems describe the cardiac action
potential, that is the polarization/depolarization cycle occurring at every
heart beat that models the time evolution of the electrical potential across
the cell membrane, as well as a set of ionic variables. Multiple solutions of
these systems, corresponding to different model inputs, are required to
evaluate outputs of clinical interest, such as activation maps and action
potential duration. More importantly, these models feature coherent structures
that propagate over time, such as wavefronts. These systems can hardly be
reduced to lower dimensional problems by conventional reduced order models
(ROMs) such as, e.g., the reduced basis (RB) method. This is primarily due to
the low regularity of the solution manifold (with respect to the problem
parameters) as well as to the nonlinear nature of the input-output maps that we
intend to reconstruct numerically. To overcome this difficulty, in this paper
we propose a new, nonlinear approach which exploits deep learning (DL)
algorithms to obtain accurate and efficient ROMs, whose dimensionality matches
the number of system parameters. Our DL approach combines deep feedforward
neural networks (NNs) and convolutional autoencoders (AEs). We show that the
proposed DL-ROM framework can efficiently provide solutions to parametrized
electrophysiology problems, thus enabling multi-scenario analysis in
pathological cases. We investigate three challenging test cases in cardiac
electrophysiology and prove that DL-ROM outperforms classical projection-based
ROMs.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.03040v1.pdf,Stefania Fresca; Andrea Manzoni; Luca Dedè; Alfio Quarteroni,,Stefania Fresca,,Alfio Quarteroni,,
072020-210327,"""artificial intelligence"" AND cardiac",Arxiv,22,200000,2006.01023v1,Data-Driven Learning of Boolean Networks and Functions by Optimal Causation Entropy Principle (BoCSE),6/1/20,"Boolean functions and networks are commonly used in the modeling and analysis
of complex biological systems, and this paradigm is highly relevant in other
important areas in data science and decision making, such as in the medical
field and in the finance industry. Automated learning of a Boolean network and
Boolean functions, from data, is a challenging task due in part to the large
number of unknowns (including both the structure of the network and the
functions) to be estimated, for which a brute force approach would be
exponentially complex. In this paper we develop a new information theoretic
methodology that we show to be significantly more efficient than previous
approaches. Building on the recently developed optimal causation entropy
principle (oCSE), that we proved can correctly infer networks distinguishing
between direct versus indirect connections, we develop here an efficient
algorithm that furthermore infers a Boolean network (including both its
structure and function) based on data observed from the evolving states at
nodes. We call this new inference method, Boolean optimal causation entropy
(BoCSE), which we will show that our method is both computationally efficient
and also resilient to noise. Furthermore, it allows for selection of a set of
features that best explains the process, a statement that can be described as a
networked Boolean function reduced order model. We highlight our method to the
feature selection in several real-world examples: (1) diagnosis of urinary
diseases, (2) Cardiac SPECT diagnosis, (3) informative positions in the game
Tic-Tac-Toe, and (4) risk causality analysis of loans in default status. Our
proposed method is effective and efficient in all examples.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.01023v1.pdf,Jie Sun; Abd AlRahman AlMomani; Erik Bollt,,Jie Sun,,Erik Bollt,,
072020-204606,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,88,200000,2006.00781v1,Reducing the X-ray radiation exposure frequency in cardio-angiography via deep-learning based video interpolation,6/1/20,"Cardiac coronary angiography is a major technology to assist doctors during
cardiac interventional surgeries. Under the exposure of X-ray radiation,
doctors inject contrast agents through catheters to determine the position and
status of coronary vessels in real time. To get a coronary angiography video
with a high frame rate, the doctor needs to increase the exposure frequency and
intensity of the X-ray. This will inevitably increase the X-ray harm to both
patients and surgeons. In this work, we innovatively utilize a deep-learning
based video interpolation algorithm to interpolate coronary angiography videos.
Moreover, we establish a new coronary angiography image dataset ,which contains
95,039 triplets images to retrain the video interpolation network model. Using
the retrained network we synthesize high frame rate coronary angiography video
from the low frame rate coronary angiography video. The average peak signal to
noise ratio(PSNR) of those synthesized video frames reaches 34dB. Extensive
experiment results demonstrate the feasibility of using the video frame
interpolation algorithm to synthesize continuous and clear high frame rate
coronary angiography video. With the help of this technology, doctors can
significantly reduce exposure frequency and intensity of the X-ray during
coronary angiography.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.00781v1.pdf,Xiao-Lei Yin; Dong-Xue Liang; Lu Wang; Jing Qiu; Zhi-Yun Yang; Jun-Hui Xing; Jian-Zeng Dong; Zhao-Yuan Ma,,Xiao-Lei Yin,,Zhao-Yuan Ma,,
072020-204128,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,33,200000,2005.13643v1,Segmentation of the Myocardium on Late-Gadolinium Enhanced MRI based on 2.5 D Residual Squeeze and Excitation Deep Learning Model,5/27/20,"Cardiac left ventricular (LV) segmentation from short-axis MRI acquired 10
minutes after the injection of a contrast agent (LGE-MRI) is a necessary step
in the processing allowing the identification and diagnosis of cardiac diseases
such as myocardial infarction. However, this segmentation is challenging due to
high variability across subjects and the potential lack of contrast between
structures. Then, the main objective of this work is to develop an accurate
automatic segmentation method based on deep learning models for the myocardial
borders on LGE-MRI. To this end, 2.5 D residual neural network integrated with
a squeeze and excitation blocks in encoder side with specialized convolutional
has been proposed. Late fusion has been used to merge the output of the best
trained proposed models from a different set of hyperparameters. A total number
of 320 exams (with a mean number of 6 slices per exam) were used for training
and 28 exams used for testing. The performance analysis of the proposed
ensemble model in the basal and middle slices was similar as compared to
intra-observer study and slightly lower at apical slices. The overall Dice
score was 82.01% by our proposed method as compared to Dice score of 83.22%
obtained from the intra observer study. The proposed model could be used for
the automatic segmentation of myocardial border that is a very important step
for accurate quantification of no-reflow, myocardial infarction, myocarditis,
and hypertrophic cardiomyopathy, among others.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2005.13643v1.pdf,Abdul Qayyum; Alain Lalande; Thomas Decourselle; Thibaut Pommier; Alexandre Cochet; Fabrice Meriaudeau,,Abdul Qayyum,,Fabrice Meriaudeau,,
072020-205339,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,30,200000,2005.11101v1,A Comparative Evaluation of Heart Rate Estimation Methods using Face Videos,5/22/20,"This paper presents a comparative evaluation of methods for remote heart rate
estimation using face videos, i.e., given a video sequence of the face as
input, methods to process it to obtain a robust estimation of the subjects
heart rate at each moment. Four alternatives from the literature are tested,
three based in hand crafted approaches and one based on deep learning. The
methods are compared using RGB videos from the COHFACE database. Experiments
show that the learning-based method achieves much better accuracy than the hand
crafted ones. The low error rate achieved by the learning based model makes
possible its application in real scenarios, e.g. in medical or sports
environments.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2005.11101v1.pdf,Javier Hernandez-Ortega; Julian Fierrez; Aythami Morales; David Diaz,,Javier Hernandez-Ortega,,David Diaz,,
072020-210013,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,141,200000,2005.11384v1,Image Translation by Latent Union of Subspaces for Cross-Domain Plaque Detection,5/22/20,"Calcified plaque in the aorta and pelvic arteries is associated with coronary
artery calcification and is a strong predictor of heart attack. Current
calcified plaque detection models show poor generalizability to different
domains (ie. pre-contrast vs. post-contrast CT scans). Many recent works have
shown how cross domain object detection can be improved using an image
translation model which translates between domains using a single shared latent
space. However, while current image translation models do a good job preserving
global/intermediate level structures they often have trouble preserving tiny
structures. In medical imaging applications, preserving small structures is
important since these structures can carry information which is highly relevant
for disease diagnosis. Recent works on image reconstruction show that complex
real-world images are better reconstructed using a union of subspaces approach.
Since small image patches are used to train the image translation model, it
makes sense to enforce that each patch be represented by a linear combination
of subspaces which may correspond to the different parts of the body present in
that patch. Motivated by this, we propose an image translation network using a
shared union of subspaces constraint and show our approach preserves subtle
structures (plaques) better than the conventional method. We further applied
our method to a cross domain plaque detection task and show significant
improvement compared to the state-of-the art method.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2005.11384v1.pdf,Yingying Zhu; Daniel C. Elton; Sungwon Lee; Perry J. Pickhardt; Ronald M. Summers,,Yingying Zhu,,Ronald M. Summers,,
